starting time, duration, x, y, z
2099.9,1.5268,3.222,13.332,48.414
2101.5,1.2816,3.2121,13.336,48.391
2102.9,0.85812,2.2371,11.468,49.052
2103.9,1.1925,1.811,11.449,48.255
2105.1,1.315,0.59778,11.467,49.063
2106.5,0.78011,-1.1565,11.862,50.013
2107.7,0.57951,-1.8713,12.617,49.726
2108.4,0.18946,-3.783,12.357,47.759
2108.7,0.17831,-3.7903,12.087,47.313
2109.3,0.46807,-0.65775,11.449,47.134
2109.8,0.14488,-2.6756,11.449,47.474
2110,0.54608,-2.8261,11.449,47.289
2110.6,1.8165,-0.81641,11.457,48.578
2112.5,0.18946,-0.57984,11.601,50.141
2112.9,0.14488,-0.62466,11.532,49.871
2113,1.3708,1.4116,11.449,48.85
2114.6,1.159,1.5458,11.537,48.614
2115.9,2.1509,0.83273,11.489,49.09
2118.1,3.2765,1.1009,11.486,48.607
2121.4,0.83583,1.7364,11.46,48.158
2122.3,0.89156,2.0581,11.449,49.526
2123.6,0.7021,-0.9993,11.449,48.252
2124.3,0.4012,-2.8711,11.451,47.756
2124.8,0.15602,-2.1996,11.449,47.157
2125,3.7223,-0.88311,11.514,48.894
2128.8,0.41235,-1.2034,11.535,49.771
2129.2,2.4741,-0.98005,11.502,48.391
2131.9,2.6078,-3.8034,12.287,47.775
2135.1,0.21174,-0.73433,11.938,45.308
2135.4,0.24518,-0.39566,11.574,45.474
2135.6,0.25632,-0.40962,11.955,45.306
2135.9,4.168,-0.6052,11.596,47.156
2140.4,1.2593,-0.40189,11.524,45.749
2141.8,1.1925,-0.75647,12.455,45.21
2143.3,0.67981,1.7275,11.449,46.456
2144,0.2006,2.456,11.449,47.736
2144.3,0.2006,2.114,11.449,47.545
2144.6,1.4376,1.2819,11.45,48.206
2146,0.16717,1.7287,11.449,49.284
2146.5,0.32319,0.26072,11.495,49.541
2147,0.16717,0.37499,12.183,49.667
2147.2,0.65752,0.21325,11.655,49.742
2147.9,0.17831,-1.2717,11.934,49.691
2148.2,0.55722,-1.4647,12.324,49.795
2148.8,0.36777,-1.8431,12.509,49.746
2149.3,1.237,-0.90299,11.455,48.478
2150.7,1.6159,-0.75749,11.449,47.088
2152.4,0.44578,-3.1686,11.449,46.818
2152.9,0.23403,-3.8136,11.647,47.609
2153.2,2.0952,-3.016,11.451,46.725
2155.3,2.5855,-3.1297,11.449,46.322
2157.9,0.7021,-3.8424,11.761,47.483
2158.9,0.3009,-3.8677,12.682,47.414
2159.2,0.4012,-3.855,12.892,47.833
2159.7,0.35662,-3.8011,12.936,47.953
2160.2,1.85,-3.7988,12.755,47.988
2162.2,0.15602,-2.7709,11.998,50.115
2162.4,1.1925,-1.6649,12.576,49.817
2163.7,0.4012,-1.8216,12.8,49.732
2164.2,1.3931,-1.6884,12.467,49.716
2165.7,5.8508,-1.5462,11.783,49.552
2171.6,0.18946,-1.3447,12.209,49.71
2171.8,0.44578,-0.69984,12.253,49.791
2172.6,0.33433,-0.023702,11.505,49.853
2173,0.14488,1.3566,11.449,49.428
2173.5,1.5714,-0.94651,11.534,49.85
2175.2,1.1033,-0.87338,11.497,50.025
2176.4,0.55722,0.57758,12.166,49.706
2177.1,1.4711,0.69526,12.926,49.858
2178.9,0.52379,2.038,11.449,49.273
2180.2,0.36777,-1.0362,11.513,49.849
2180.8,1.0922,-0.87392,11.504,49.951
2182.2,6.0626,0.29769,11.696,49.43
2188.4,0.26747,-0.51997,11.449,47.706
2188.7,0.63523,-0.75086,11.449,48.58
2189.5,0.53493,-0.50784,11.449,46.191
2190.1,0.42349,0.072157,11.45,46.087
2190.6,1.6271,0.86487,11.455,46.37
2192.4,0.4012,2.1539,11.449,46.257
2192.8,2.1174,2.0082,11.449,47.717
2195.1,0.34548,0.91017,11.477,48.809
2195.8,3.0982,-0.61438,12.059,45.34
2198.9,0.43463,-1.7668,11.717,45.608
2199.6,1.0476,-2.3934,11.936,45.144
2200.8,1.5156,-2.7116,11.681,44.701
2202.4,0.2006,-2.6328,12.366,44.731
2202.7,0.35662,-2.6081,12.322,44.753
2203.1,2.4406,-2.6476,11.768,44.747
2205.6,0.23403,-2.49,12.401,45.109
2206,0.42349,-2.3275,11.478,45.151
2206.8,0.76897,-0.85936,11.555,45.906
2207.7,0.2006,-2.1796,11.938,45.53
2208.3,0.32319,-2.7495,11.449,48.195
2208.9,0.2006,-3.5823,11.488,49.973
2209.2,0.17831,-3.6331,12.96,46.988
2209.5,0.52379,-3.7213,12.442,48.043
2210.3,0.94728,-3.7358,12.331,47.461
2211.4,0.98071,-3.7987,12.453,47.954
2212.4,0.64638,-3.8878,12.792,47.891
2213.1,0.3009,-3.8295,13.321,48.151
2213.7,0.27861,-0.28606,12.266,49.848
2214.2,0.18946,-1.9391,12.68,49.617
2214.4,0.16717,-1.9679,12.634,49.811
2214.6,0.32319,-1.8916,12.795,49.89
2215.1,0.67981,-0.77581,11.505,49.821
2216,0.83583,-0.86658,11.449,48.379
