starting time, duration, x, y, z
1590.2917, 1.2153, 9.7629, 7.9090, 56.9087
1591.6251, 0.5064, 9.7629, 8.1215, 56.9124
1592.3003, 30.4420, 9.7629, 8.3273, 57.8807
1622.7670, 0.3209, 9.7629, 7.8424, 58.5823
1623.1620, 0.4813, 9.7629, 7.9930, 57.8666
1623.7173, 3.1223, 9.7629, 8.2229, 58.1357
1626.9753, 0.6047, 9.7629, 8.3812, 58.3350
1627.6665, 1.9746, 9.7629, 8.3370, 58.2437
1629.7645, 0.3085, 9.7629, 8.5919, 58.3241
1630.1718, 0.9503, 9.7629, 8.5776, 58.3695
1631.2578, 0.6171, 9.7629, 8.6038, 58.3478
1631.8995, 0.4196, 9.7629, 8.5906, 58.4921
1632.4302, 0.7281, 9.7629, 8.4794, 58.4139
1633.2941, 0.4813, 9.7629, 8.3534, 58.2223
1633.8370, 0.3332, 9.7629, 6.5878, 58.1584
1634.3307, 0.1851, 9.7629, 7.9660, 58.4813
1634.5898, 0.5554, 9.7629, 8.1463, 58.3218
1636.4534, 0.2592, 2.0479, 5.9045, 53.4555
1637.6505, 0.2098, -1.1378, 6.8103, 52.9035
1637.9590, 0.1728, -1.2312, 6.9952, 52.2817
1638.3046, 0.3209, -0.4572, 5.2411, 53.7820
1638.6625, 0.2838, -0.5939, 4.9339, 54.8178
1639.9583, 0.3702, 3.0496, 4.9339, 57.8937
1640.8839, 0.1481, 2.4681, 7.1115, 63.1544
1642.4512, 0.1728, -0.8815, 6.8670, 52.5346
1643.0189, 0.5677, -1.0787, 6.8603, 52.5716
1644.1050, 0.1481, -1.0051, 7.0084, 52.2857
1644.3641, 0.9873, -1.0680, 7.1253, 52.7233
1645.6599, 0.2221, -1.5600, 6.8156, 52.9496
1646.0302, 0.1728, -4.7744, 4.9339, 53.3797
1648.3750, 0.1481, -10.1041, 8.0125, 58.7631
1649.0537, 0.1604, -6.5442, 5.1984, 63.0986
1649.8560, 0.7281, -7.8152, 4.9339, 60.1570
1650.8433, 0.1604, -7.5260, 4.9339, 60.4829
1651.2258, 0.2715, -7.3457, 4.9600, 59.9144
1651.6577, 0.1728, -7.1466, 5.0199, 59.9667
1651.9663, 0.2345, -7.1946, 4.9455, 59.9234
1652.3365, 0.3332, -7.2161, 5.1672, 60.0819
1652.8549, 0.4319, -8.8734, 4.9357, 59.3207
1654.0272, 0.1975, 0.2787, 6.9168, 63.2386
1655.0269, 0.1975, 1.4412, 8.4114, 62.0476
1655.2490, 0.1481, -2.1486, 6.5205, 62.0271
1656.0142, 0.2592, 0.0992, 6.7747, 63.2402
1656.5449, 0.3332, -0.2061, 7.0025, 63.0930
1657.0138, 0.9873, -0.2350, 6.9552, 63.2441
1658.2850, 0.1604, -0.1765, 6.7055, 63.1402
1659.9880, 0.9256, -3.6882, 4.9618, 58.9694
1660.9630, 0.4319, -3.7775, 4.9790, 58.9992
1662.4316, 0.1851, -2.8837, 6.5075, 61.9733
1662.7031, 0.6417, -2.0271, 6.3621, 61.9530
1663.4559, 0.1728, -2.2333, 6.4385, 61.8816
1663.6534, 0.9379, -2.1780, 6.0723, 61.9758
1664.6654, 0.7528, -2.1760, 5.7863, 61.9380
1665.9858, 0.6047, -2.2339, 5.3631, 61.9622
1666.8004, 0.9256, -1.6809, 5.5702, 62.0210
1667.8617, 0.3456, -0.1502, 5.5832, 62.0141
1668.4171, 0.1604, -0.9051, 5.0500, 62.8183
1668.6886, 0.1851, -0.1600, 5.9500, 61.8711
1668.9601, 0.4690, 0.7673, 5.0608, 62.4915
1669.4661, 0.1604, 1.1172, 5.0358, 62.7619
1669.6512, 0.1851, 1.5118, 5.3966, 62.4132
1670.3423, 0.4936, 1.6071, 5.4712, 61.8578
1670.9224, 0.5554, 2.3145, 5.2328, 61.8155
1671.8727, 1.1230, 2.2632, 5.4367, 61.6123
1673.0450, 0.1604, 2.4571, 5.1813, 61.7397
1675.0936, 0.1851, -9.9227, 5.0940, 60.1230
1676.7844, 0.1604, 0.3958, 5.4247, 52.2720
1677.0929, 0.3085, -0.9281, 6.6012, 52.9137
1678.1173, 0.4073, -3.0712, 5.7857, 53.5250
1678.5986, 0.2962, -2.8001, 5.6582, 53.4496
1678.9194, 1.5180, -2.8109, 5.6055, 53.5334
1680.9681, 0.5183, -2.7136, 6.0915, 53.3738
1682.4984, 0.1604, -9.9301, 5.1156, 59.8856
1682.7946, 0.2345, -8.8105, 5.0687, 60.0553
1684.4484, 0.1604, 2.0328, 4.9339, 56.4733
1684.9790, 0.2592, 1.0564, 4.9339, 54.5322
1685.2628, 0.1604, 0.3783, 4.9339, 53.9042
1685.4727, 0.5307, -1.0492, 4.9339, 54.6043
1686.1144, 0.1604, 0.1709, 4.9487, 53.1370
1686.2994, 0.3209, 0.0152, 6.0512, 52.8384
1686.6573, 0.1604, -0.9099, 6.8712, 52.5486
1687.0646, 0.1481, -0.4485, 6.6129, 52.9053
1688.8418, 0.3085, 5.6558, 4.9449, 52.5443
1689.5699, 0.1481, 3.6374, 5.2965, 52.1765
1689.8538, 0.3702, 5.3370, 4.9495, 52.6235
1690.3721, 0.4196, 4.9744, 4.9462, 52.4572
1690.9027, 0.2098, 4.5242, 4.9339, 52.8916
1691.1742, 1.0860, 4.7363, 4.9398, 52.7807
1692.4824, 0.6047, 5.5276, 4.9339, 52.4852
1694.1484, 0.1604, 3.0385, 6.9639, 52.6158
1696.7648, 0.2221, -3.7783, 4.9339, 57.4532
1697.1227, 0.1604, -4.5902, 4.9339, 57.7871
1697.3325, 0.2098, -3.7916, 5.0160, 57.8682
1697.6533, 0.2345, -3.9698, 4.9339, 58.3278
1698.7394, 0.2468, -3.7747, 4.9625, 58.0644
1699.1960, 0.3209, -3.8812, 4.9420, 58.3156
1700.6523, 2.7768, -10.1040, 7.7736, 57.6081
1703.4661, 0.5554, -9.0420, 4.9444, 57.9553
1704.5275, 0.2221, -4.5230, 4.9339, 58.7136
1704.9963, 0.2715, -9.9590, 5.1267, 58.2057
1705.5518, 0.1851, -10.1041, 8.5315, 57.4926
1705.7739, 0.3332, -10.1041, 9.0191, 58.0235
1706.6378, 0.7528, -8.9327, 4.9729, 58.6869
1707.5017, 0.4196, -9.3288, 4.9893, 59.0357
1708.1804, 0.4073, -8.2531, 4.9454, 58.1080
1708.7234, 0.1851, -9.0600, 4.9370, 58.7614
1709.0690, 1.0613, -10.1041, 8.1110, 57.9917
1710.1550, 0.2468, -10.1041, 7.6404, 58.2027
1710.4635, 0.2592, -8.6717, 4.9613, 58.2484
1711.2411, 0.1604, 0.8309, 4.9339, 61.5196
1712.6973, 0.2098, 2.1999, 4.9339, 54.1191
1714.0055, 1.4316, -10.1041, 8.2899, 57.3701
1716.9056, 0.3209, -0.3067, 5.0551, 62.6815
1717.6461, 0.2098, -0.1874, 6.6975, 63.1666
1718.5347, 0.1604, -2.1090, 7.8410, 63.1841
1718.7938, 0.1851, -3.0481, 7.9835, 63.1985
1719.0283, 0.2098, -2.3912, 6.7552, 62.2640
1719.6577, 0.1851, 3.9411, 4.9339, 62.0063
1720.0773, 0.1481, 2.8590, 7.6023, 62.5515
1720.2994, 0.3209, 2.7983, 8.5504, 62.4523
1721.2251, 0.1604, 1.8096, 4.9339, 57.6092
1721.5212, 0.1481, 3.3247, 4.9493, 56.9561
1722.0149, 0.4813, 2.1202, 6.3514, 61.9661
1722.5950, 0.7405, 2.1809, 6.2134, 61.9724
1723.4589, 0.1975, 2.3614, 6.2410, 61.8945
1723.7303, 0.9996, 2.1093, 6.2071, 61.7212
1724.7546, 0.8886, 2.1520, 5.9037, 61.6243
1725.9395, 0.3085, 2.0862, 5.4886, 61.4261
1726.2726, 0.4813, 2.0482, 5.7942, 61.7376
1727.2476, 0.4319, 2.4766, 6.7994, 63.2322
1728.5063, 0.4196, 2.2584, 7.8646, 62.4453
1729.2222, 1.3822, 2.6470, 8.5308, 62.4919
1730.7401, 0.1604, 2.5411, 8.5491, 62.4093
1733.6897, 0.1481, -0.9054, 6.4892, 52.9645
1733.9982, 0.1728, 0.2083, 5.3196, 52.3434
1734.4795, 0.3332, -1.0532, 6.3122, 52.8589
1734.8990, 0.1604, -0.7360, 4.9339, 54.9407
1736.7256, 0.6541, -1.0595, 4.9339, 56.6135
1737.4414, 0.1481, -0.8000, 4.9339, 56.7149
1737.6388, 0.8515, -0.8620, 4.9415, 56.5742
1739.8479, 0.1604, -8.9248, 4.9621, 58.7604
1740.0331, 0.1851, -9.8162, 5.0363, 59.5115
1740.3785, 0.1604, -9.9080, 5.1550, 58.9724
1741.4030, 0.2098, 3.5340, 4.9339, 56.6716
1742.1558, 0.3085, 2.5259, 4.9339, 55.2903
1742.5012, 0.6788, 3.0613, 4.9822, 57.3600
1743.4269, 0.2098, 9.7629, 7.1859, 57.3641
1743.6860, 0.1604, 9.7629, 6.9312, 55.4132
1744.3895, 0.1481, 0.0480, 4.9339, 58.1235
1744.6487, 0.4196, -0.0404, 4.9339, 57.7625
1745.0929, 0.1604, 3.8679, 4.9339, 58.1090
1745.3768, 0.1604, 4.0074, 4.9339, 56.5803
1746.3888, 0.1851, 8.2081, 4.9339, 56.2792
1746.6726, 0.3949, 9.7244, 5.2597, 58.1391
1747.1416, 1.0367, 9.7629, 8.2365, 56.6447
1748.5238, 0.1851, 9.7629, 8.1222, 56.7899
